model,series_id,row_count,mae,rmse,mape_percent,mape_excluded_zero_count,r2
gru,30,32,0.330778954923153,0.4258056516501421,7.39616349734469,0,0.28208977614390174
gru,31,32,0.8324393773078919,1.1304895911605102,18.81902350564852,0,0.3995386385023896
gru,32,32,0.45087294101715103,0.46767100518930615,19.197733197399618,0,-58.94790073689783
gru,33,32,1.8111704704165459,2.297840948496818,36.00098113884503,0,0.4280988364401197
gru,34,32,0.9512499698996544,1.1292654571764238,35.80409495296821,0,0.1634282568921015
gru,35,32,0.8561745643615721,1.1323431215478006,7.1071267129216045,0,0.6645845369629565
gru,36,32,0.23742116689682002,0.2868156879610632,5.78438377556474,0,0.8781425287088425
gru,37,32,0.11548649013042447,0.1567103272957781,4.8389259045329895,0,-0.8508244319283924
gru,38,32,0.11234857392311093,0.13600663748927366,3.040019870428355,0,0.6999783277093552
gru,39,32,0.4747398793697357,0.6447429671228256,3.0376229191523985,0,0.2228751483303527
gru,40,32,0.28608353257179264,0.29966068956630965,12.363789317987623,0,-6.605225284681666
gru,41,12,0.5398667718569438,0.8007660448683676,11.280429828788801,0,-0.3342812838219844
gru,44,32,0.49481593430042276,0.5079257778342859,15.956011142807908,0,-10.44544722939498
gru,50,32,0.9743880152702328,1.1987334689661364,4.36259324657332,0,0.43708697587578493
gru,51,32,0.28389542520046235,0.3292729145102116,5.417763336740627,0,-2.6459714649063555
gru,52,32,0.39363298904895805,0.48398172948995677,4.497880707102754,0,-0.5823992918880427
gru,53,32,0.530502604007721,0.552665140778606,5.556441085828369,0,-129.32053667491547
gru,54,32,0.46340032052993785,0.5554301046422591,3.0347188789564012,0,-4.2756570980446655
gru,55,32,0.1813336652517318,0.26270695665532295,7.1993488660739064,0,-4.4309485162114095
gru,56,32,0.07119745433330532,0.08750890870306763,2.8205479914416,0,0.3973889722456171
gru,57,32,0.5172046303749087,0.733978601445978,4.292154608920404,0,
gru,58,32,0.35681003332138067,0.4912741735733084,3.409008463442108,0,-182.06868233112758
gru,59,32,0.3875524997711181,0.4940960993288376,2.873330181018279,0,-9.351556865461767
gru,60,32,0.28531351685523987,0.34909857811420203,2.8518280560530505,0,-22.110128306509186
gru,61,32,0.5665114104747773,0.6722128471623077,4.194535989308319,0,-84.68796195841021
lstm,3,32,0.45733949625492093,0.590349812735688,58.12031928681167,0,-498.8231264267601
lstm,4,32,0.07056679427623735,0.08478823341368484,2.520242652722763,0,
lstm,6,32,0.24250902086496345,0.28049153128110954,6.924472364898716,0,-4.8719906049061175
lstm,8,32,0.9412548243999481,0.9579352331345097,7.530038595199584,0,
lstm,10,32,0.07581992053985592,0.08858221087866955,1.1765971530083166,0,
lstm,11,32,1.0374977378845216,1.0430145393699999,6.241714221420536,0,
lstm,12,32,0.0903109610080719,0.10852348954375765,1.6420174728740344,0,
lstm,13,32,0.8595881657600408,0.89413622748909,3.336004058524628,0,
lstm,14,32,0.13760342216491717,0.15549438511966973,1.902439128507081,0,
lstm,16,32,0.7058736565709114,0.8302607656857247,10.273794260327088,0,0.7725752228816537
lstm,17,23,0.7592462622601058,0.8311398983778823,3.428123089899719,0,-7.056212031027089
lstm,18,32,0.4152107656002044,0.6274970949465962,6.142083046452829,0,0.8020913938713963
lstm,19,32,0.5165628731250762,0.6427285692306273,9.628597062150886,0,0.7163173247863649
lstm,20,32,0.8438584360480309,1.0917138939217812,18.79386900326595,0,0.360543248768014
lstm,21,32,0.1257056927680969,0.1648843508205257,6.234586094826218,0,0.5417272961098838
lstm,22,32,1.8370571136474607,2.4902161866623516,7.91591587953564,0,0.8401760906745338
lstm,23,32,0.7762567653656005,1.096821574217907,9.31992184094964,0,0.7176668266179737
lstm,24,32,0.35339215636253307,0.36402631442019484,4.3845180690140575,0,
lstm,25,32,0.42385092020034776,0.4388291660035747,6.880696756499153,0,
lstm,26,32,1.655013954639435,2.0508409936169714,9.518240767149555,0,-0.7734945256220174
lstm,28,32,0.37751851606369013,0.3831300763630249,29.964618743304705,0,-1814.2038250857104
lstm,29,32,1.308958005309105,1.443525759574946,36.956180364716964,0,-3.201026577915685
lstm,30,32,0.9776637241244317,1.0810022864049946,22.04878317887678,0,-3.6270108761353006
lstm,31,32,1.484293858408928,2.0226225049605864,31.21932135859503,0,-0.9221248832574473
lstm,32,32,0.8132927137613296,0.8675228393904592,34.25573976393606,0,-205.27895554304635
lstm,33,32,2.5049589520692823,3.3619046550436225,36.82898863772981,0,-0.2241984807641062
lstm,34,32,0.9537371259927749,1.1944949377521017,29.852508602974815,0,0.06399163325465218
lstm,35,32,1.0087822794914247,1.2546133413411438,8.147953910633607,0,0.5882375014901895
lstm,36,32,0.24936800003051762,0.3052379562514033,5.434670931477914,0,0.8619859084107486
lstm,37,32,0.2786296045780181,0.32018119961336905,11.491520676204628,0,-6.726123454421547
lstm,38,32,0.22962595027685162,0.29202602697801433,6.439405999113312,0,-0.3831699336876533
lstm,39,32,0.9984679818153381,1.1364692627190247,6.39842147176916,0,-1.414531962296023
