model,series_id,row_count,mae,rmse,mape_percent,mape_excluded_zero_count,r2,direction_accuracy_percent
ridge,13,261,0.0950606590183296,0.13533527547043778,0.35916678469649144,0,0.9531154993109233,83.6734693877551
ridge,14,261,0.042438906084745195,0.05272887144061147,0.5810160355408555,0,0.7241344830912017,53.191489361702125
ridge,16,261,0.9053369579696818,1.2753629897912435,10.381176138202262,0,0.8906079035114123,64.75095785440614
ridge,17,245,0.06362945844377726,0.09663998094288646,0.28068855727882136,0,0.8065950309819212,57.89473684210527
ridge,18,170,0.5211361217748104,0.7630347228227102,7.178748856814628,0,0.8097677470455933,65.29411764705883
ridge,19,261,0.5140143790612479,0.6917808664748206,9.897968723497504,0,0.7797862195614049,68.46153846153847
ridge,20,170,0.5993759066737556,0.8923901749791022,10.028334226769307,0,0.8793023602585341,63.52941176470588
ridge,21,261,0.10012368079681201,0.11987592674071966,6.3488640541673265,0,0.7778030483549007,55.03875968992248
ridge,22,261,0.8897594434690251,1.2576564399699899,6.138580643620214,0,0.8886807316952167,60.231660231660236
ridge,23,260,0.45548139650458974,0.6033748311240649,7.532692620938451,0,0.9053758399561527,48.07692307692308
ridge,24,261,0.1209513670887627,0.1344568526579055,1.458160203596151,0,0.45524738275752696,46.666666666666664
ridge,25,261,0.1474362892030705,0.23134297311197252,2.2002448475680154,0,0.9098832476102074,65.03067484662577
ridge,26,170,0.5381059634252312,0.7377181590721343,9.574273657857521,0,0.972251444564316,50.588235294117645
ridge,28,251,0.03451631374823513,0.04685675624099245,3.276184587723225,0,0.9394763543569347,61.943319838056674
ridge,29,261,0.19307170199284202,0.2775686532838171,7.876542617385758,0,0.8775607371775597,59.61538461538461
ridge,30,261,0.1845125431393704,0.2499264582745366,6.367250869286517,0,0.813959813915932,60.53639846743295
ridge,31,170,0.19953616330763876,0.2896703208777899,6.262744862942234,0,0.8546155244260105,43.529411764705884
ridge,32,170,0.11845287814420812,0.15319028106115937,5.678112233040674,0,0.7377745111111111,53.25443786982249
ridge,33,257,0.5609109114272947,0.7642275172790932,11.366260321827603,0,0.8688642752223837,63.81322957198443
ridge,34,261,0.27007196207610845,0.40940036430438637,13.12345081330381,0,0.7232357249352285,58.23754789272031
ridge,35,130,0.5806820257659652,1.0688367523955857,7.241182544195519,0,0.15797349350954493,58.46153846153847
ridge,36,261,0.1604154424257307,0.21892989988492162,3.562070277749591,0,0.7763758150372324,60.231660231660236
ridge,37,261,0.13213793359482828,0.19088135185593214,5.872486016115581,0,0.7408831410494308,63.601532567049816
ridge,38,261,0.09048522650490116,0.11872746347685295,2.48587882216092,0,0.9534928232515988,57.58754863813229
ridge,39,105,0.22564435281501236,0.30444132547518116,2.482049509249696,0,0.8745876736198314,73.33333333333333
ridge,40,261,0.047454785940950595,0.05667942703216618,1.9520370476169182,0,0.881344690641248,55.55555555555556
ridge,41,196,0.14376532417327634,0.19180031982725335,2.853529361477406,0,0.97267879047401,55.61224489795919
ridge,44,261,0.06718981761615699,0.08714732720539203,2.337060466587714,0,0.9341202765910641,52.96442687747036
