segment,model,series_id,row_count,mae,rmse,mape_percent
all_validation,baseline_lag_1,54,32,0.006250000000000033,0.03535533905932756,0.04261266789391173
all_validation,baseline_lag_1,55,32,0.004687499999999997,0.026516504294495518,0.20248380129589622
all_validation,baseline_lag_1,56,32,0.0037500000000000033,0.021213203435596444,0.15625000000000014
all_validation,baseline_lag_1,57,32,0.0,0.0,0.0
all_validation,baseline_lag_1,58,32,0.003124999999999989,0.017677669529663625,0.029761904761904656
all_validation,baseline_lag_1,59,32,0.021875000000000033,0.123743686707646,0.16084558823529438
all_validation,baseline_lag_1,60,32,0.0,0.0,0.0
all_validation,baseline_lag_1,61,32,0.0,0.0,0.0
all_validation,gradient_boosting,3,32,0.03732467659481506,0.047103119774311336,4.841852229027419
all_validation,gradient_boosting,4,32,0.00029615899446532035,0.0015366201044421553,0.010577106945190014
all_validation,gradient_boosting,6,32,0.004537175880015107,0.004781156362383891,0.12780777126803117
all_validation,gradient_boosting,8,32,0.08101428702123215,0.08102831722770723,0.6481142961698572
all_validation,gradient_boosting,10,32,0.05162478206041296,0.058573976455026266,0.8016308699025216
all_validation,gradient_boosting,11,32,0.1306113484584347,0.1306200514366995,0.7857739649767459
all_validation,gradient_boosting,12,32,0.042431680155596396,0.04333647979215468,0.7714850937381162
all_validation,gradient_boosting,13,32,0.05223742691534128,0.05225918351764592,0.20272995271215616
all_validation,gradient_boosting,14,32,0.02046539510068332,0.02052086469480384,0.2829447684319552
all_validation,gradient_boosting,16,32,0.4703851450986178,0.7746691121261061,6.134187429405967
all_validation,gradient_boosting,17,32,0.022208258753809385,0.02225938561756646,0.10140757421830768
all_validation,gradient_boosting,18,32,0.18496668635702893,0.2555094339465713,2.896373371451798
all_validation,gradient_boosting,19,32,0.32231727374661545,0.45218750082534537,7.451777352138484
all_validation,gradient_boosting,20,32,0.30448546417477473,0.5393040508175921,6.40457819235942
all_validation,gradient_boosting,21,32,0.026204834232003815,0.03625992603205562,1.4544347234151196
all_validation,gradient_boosting,22,32,0.5506384224984842,0.9869255449384919,4.182026245519105
all_validation,gradient_boosting,23,32,0.4345412799673062,0.8090175146612893,7.645964982327364
all_validation,gradient_boosting,24,32,0.05334065902149454,0.053361965818761965,0.6617947769416197
all_validation,gradient_boosting,25,32,0.061392469645241615,0.061410982896687845,0.9966310007344418
all_validation,gradient_boosting,26,32,0.6009939871648591,1.0078504370549612,5.9267839110042075
all_validation,gradient_boosting,28,32,0.06060617329609293,0.07662736377084645,6.112520821612938
all_validation,gradient_boosting,29,32,0.15048851882328595,0.24170261705598853,5.97436478812768
all_validation,gradient_boosting,30,32,0.20978998008503588,0.32337537782500325,5.751322695000111
all_validation,gradient_boosting,31,32,0.08366690905776786,0.13472786333164125,4.018679993699735
all_validation,gradient_boosting,32,32,0.028898613261924458,0.06348511020449184,1.2534765168227375
all_validation,gradient_boosting,33,32,0.3286411122908466,0.449422938220631,13.326359752053444
all_validation,gradient_boosting,34,32,0.2989963984258894,0.5929401588379919,13.0332423123297
all_validation,gradient_boosting,35,32,0.7547673936181752,1.483696678994479,6.29468572354885
all_validation,gradient_boosting,36,32,0.15739474721161553,0.2797938995055997,3.6294488778868823
all_validation,gradient_boosting,37,32,0.134727639322252,0.2728690857607335,5.503439822372346
all_validation,gradient_boosting,38,32,0.08704600623554243,0.13845822832650453,1.9506011566964785
all_validation,gradient_boosting,39,32,0.3226187924346903,0.6273629306529045,2.5052839872021893
all_validation,gradient_boosting,40,32,0.03031374969812945,0.06212225747364767,1.4375288287871009
all_validation,gradient_boosting,41,32,0.056331438428246866,0.05635161440979967,0.9085715875523686
all_validation,gradient_boosting,44,32,0.025222305358211086,0.04088324603413027,0.9315850180873289
all_validation,gradient_boosting,50,20,1.8892431166840873,3.5874499371683153,10.777135656690081
all_validation,gradient_boosting,51,20,0.25627196464207525,0.44397268193890005,3.9407174877072237
all_validation,gradient_boosting,52,32,0.10562594943203657,0.14479466900394017,1.0876931982452838
all_validation,gradient_boosting,53,32,0.062142933712970194,0.13530917924205532,0.6213583230820492
all_validation,gradient_boosting,54,32,0.15366777559682843,0.18301112966799768,1.045015960721837
all_validation,gradient_boosting,55,32,0.029034393475719317,0.03384112621752056,1.3288002638585865
all_validation,gradient_boosting,56,32,0.02076630404985942,0.025504376233711917,0.9020127464268526
all_validation,gradient_boosting,57,32,0.0018636931166526871,0.0020768796316312484,0.01546633291827956
all_validation,gradient_boosting,58,32,0.1582985839794563,0.16078750572075606,1.5077366393347078
all_validation,gradient_boosting,59,32,0.08564346143587814,0.15950699611253089,0.611141852525514
all_validation,gradient_boosting,60,32,0.010237521723793885,0.010347963192847425,0.09939341479411538
all_validation,gradient_boosting,61,32,0.07686379172657609,0.07687857939492536,0.5569839980186673
all_validation,ridge,3,32,0.03270625483989715,0.04215157233043923,4.101328911687914
all_validation,ridge,4,32,0.008263966441154513,0.010883607475432941,0.2951416586126612
all_validation,ridge,6,32,0.00881156921386722,0.012021501595051371,0.2482132172920344
